size,particles,iterations,num_process_cuda,mean_time_serial,mean_time_cuda,speedup,efficiency
200,2000,1000,139,0.0565,0.0028,20.18,0.0005
200,2000,1000,256,0.0565,0.0037,15.27,0.0004
200,2000,1000,777,0.0565,0.0057,9.91,0.0002
200,2000,1000,1024,0.0565,0.0059,9.58,0.0002
200,2000,10000,139,0.3456,0.0165,20.95,0.0005
200,2000,10000,256,0.3456,0.0237,14.58,0.0004
200,2000,10000,777,0.3456,0.024,14.4,0.0003
200,2000,10000,1024,0.3456,0.03,11.52,0.0003
200,2000,100000,139,0.4789,0.0387,12.37,0.0003
200,2000,100000,256,0.4789,0.0393,12.19,0.0003
200,2000,100000,777,0.4789,0.0398,12.03,0.0003
200,2000,100000,1024,0.4789,0.0544,8.8,0.0002
200,4000,1000,139,0.1103,0.004,27.58,0.0007
200,4000,1000,256,0.1103,0.0038,29.03,0.0007
200,4000,1000,777,0.1103,0.0053,20.81,0.0004
200,4000,1000,1024,0.1103,0.0063,17.51,0.0004
200,4000,10000,139,0.4514,0.0115,39.25,0.0009
200,4000,10000,256,0.4514,0.0118,38.25,0.0009
200,4000,10000,777,0.4514,0.0098,46.06,0.001
200,4000,10000,1024,0.4514,0.0156,28.94,0.0007
200,4000,100000,139,0.5393,0.0129,41.81,0.001
200,4000,100000,256,0.5393,0.0106,50.88,0.0012
200,4000,100000,777,0.5393,0.0097,55.6,0.0012
200,4000,100000,1024,0.5393,0.0137,39.36,0.001
200,6000,1000,139,0.161,0.004,40.25,0.001
200,6000,1000,256,0.161,0.0039,41.28,0.001
200,6000,1000,777,0.161,0.0048,33.54,0.0007
200,6000,1000,1024,0.161,0.0055,29.27,0.0007
200,6000,10000,139,0.4771,0.0045,106.02,0.0025
200,6000,10000,256,0.4771,0.0036,132.53,0.0032
200,6000,10000,777,0.4771,0.0044,108.43,0.0023
200,6000,10000,1024,0.4771,0.0051,93.55,0.0023
200,6000,100000,139,0.5514,0.004,137.85,0.0033
200,6000,100000,256,0.5514,0.0044,125.32,0.0031
200,6000,100000,777,0.5514,0.0047,117.32,0.0025
200,6000,100000,1024,0.5514,0.0053,104.04,0.0025
400,8000,1000,139,0.2296,0.0046,49.91,0.0012
400,8000,1000,256,0.2296,0.004,57.4,0.0014
400,8000,1000,777,0.2296,0.0048,47.83,0.001
400,8000,1000,1024,0.2296,0.007,32.8,0.0008
400,8000,10000,139,2.0895,0.0346,60.39,0.0014
400,8000,10000,256,2.0895,0.0324,64.49,0.0016
400,8000,10000,777,2.0895,0.0433,48.26,0.001
400,8000,10000,1024,2.0895,0.0524,39.88,0.001
400,8000,100000,139,6.1117,0.1437,42.53,0.001
400,8000,100000,256,6.1117,0.1265,48.31,0.0012
400,8000,100000,777,6.1117,0.134,45.61,0.001
400,8000,100000,1024,6.1117,0.1466,41.69,0.001
400,16000,1000,139,0.4573,0.0082,55.77,0.0013
400,16000,1000,256,0.4573,0.0086,53.17,0.0013
400,16000,1000,777,0.4573,0.0111,41.2,0.0009
400,16000,1000,1024,0.4573,0.0083,55.1,0.0013
400,16000,10000,139,3.8084,0.0298,127.8,0.0031
400,16000,10000,256,3.8084,0.0321,118.64,0.0029
400,16000,10000,777,3.8084,0.0317,120.14,0.0026
400,16000,10000,1024,3.8084,0.0308,123.65,0.003
400,16000,100000,139,6.7694,0.035,193.41,0.0046
400,16000,100000,256,6.7694,0.037,182.96,0.0045
400,16000,100000,777,6.7694,0.0349,193.97,0.0042
400,16000,100000,1024,6.7694,0.032,211.54,0.0052
400,24000,1000,139,0.6815,0.0108,63.1,0.0015
400,24000,1000,256,0.6815,0.0102,66.81,0.0016
400,24000,1000,777,0.6815,0.0109,62.52,0.0013
400,24000,1000,1024,0.6815,0.0132,51.63,0.0013
400,24000,10000,139,4.9766,0.015,331.77,0.008
400,24000,10000,256,4.9766,0.014,355.47,0.0087
400,24000,10000,777,4.9766,0.0151,329.58,0.0071
400,24000,10000,1024,4.9766,0.0143,348.01,0.0085
400,24000,100000,139,6.9073,0.0148,466.71,0.0112
400,24000,100000,256,6.9073,0.0144,479.67,0.0117
400,24000,100000,777,6.9073,0.0156,442.78,0.0095
400,24000,100000,1024,6.9073,0.0153,451.46,0.011
600,18000,1000,139,0.5213,0.0078,66.83,0.0016
600,18000,1000,256,0.5213,0.0082,63.57,0.0016
600,18000,1000,777,0.5213,0.012,43.44,0.0009
600,18000,1000,1024,0.5213,0.0078,66.83,0.0016
600,18000,10000,139,5.0013,0.0628,79.64,0.0019
600,18000,10000,256,5.0013,0.0643,77.78,0.0019
600,18000,10000,777,5.0013,0.088,56.83,0.0012
600,18000,10000,1024,5.0013,0.0605,82.67,0.002
600,18000,100000,139,25.3976,0.269,94.41,0.0023
600,18000,100000,256,25.3976,0.2888,87.94,0.0021
600,18000,100000,777,25.3976,0.2784,91.23,0.002
600,18000,100000,1024,25.3976,0.261,97.31,0.0024
600,36000,1000,139,1.0399,0.0212,49.05,0.0012
600,36000,1000,256,1.0399,0.0164,63.41,0.0015
600,36000,1000,777,1.0399,0.0205,50.73,0.0011
600,36000,1000,1024,1.0399,0.0161,64.59,0.0016
600,36000,10000,139,9.6398,0.115,83.82,0.002
600,36000,10000,256,9.6398,0.0971,99.28,0.0024
600,36000,10000,777,9.6398,0.1249,77.18,0.0017
600,36000,10000,1024,9.6398,0.0934,103.21,0.0025
600,36000,100000,139,29.461,0.1124,262.11,0.0063
600,36000,100000,256,29.461,0.0962,306.25,0.0075
600,36000,100000,777,29.461,0.122,241.48,0.0052
600,36000,100000,1024,29.461,0.0907,324.82,0.0079
600,54000,1000,139,1.5574,0.0228,68.31,0.0016
600,54000,1000,256,1.5574,0.0264,58.99,0.0014
600,54000,1000,777,1.5574,0.0219,71.11,0.0015
600,54000,1000,1024,1.5574,0.0267,58.33,0.0014
600,54000,10000,139,13.7172,0.1155,118.76,0.0028
600,54000,10000,256,13.7172,0.0765,179.31,0.0044
600,54000,10000,777,13.7172,0.1182,116.05,0.0025
600,54000,10000,1024,13.7172,0.0773,177.45,0.0043
600,54000,100000,139,30.1045,0.1002,300.44,0.0072
600,54000,100000,256,30.1045,0.0719,418.7,0.0102
600,54000,100000,777,30.1045,0.1171,257.08,0.0055
600,54000,100000,1024,30.1045,0.0722,416.96,0.0102
