size,particles_mpi,iterations,num_process_mpi,mean_time_serial,mean_time_mpi,speedup,efficiency
200,4000,1000,2,0.0565,0.0488,1.16,0.58
200,8000,1000,4,0.0565,0.0352,1.61,0.4025
200,10000,1000,5,0.0565,0.0316,1.79,0.358
200,12000,1000,6,0.0565,0.0294,1.92,0.32
200,8000,1000,2,0.0565,0.0969,0.58,0.29
200,16000,1000,4,0.0565,0.0691,0.82,0.205
200,20000,1000,5,0.0565,0.0635,0.89,0.178
200,24000,1000,6,0.0565,0.059,0.96,0.16
200,12000,1000,2,0.0565,0.1433,0.39,0.195
200,24000,1000,4,0.0565,0.1013,0.56,0.14
200,30000,1000,5,0.0565,0.0919,0.61,0.122
200,36000,1000,6,0.0565,0.0842,0.67,0.1117
200,4000,1000,2,0.0565,0.0488,1.16,0.58
200,8000,1000,4,0.0565,0.0352,1.61,0.4025
200,10000,1000,5,0.0565,0.0316,1.79,0.358
200,12000,1000,6,0.0565,0.0294,1.92,0.32
200,8000,1000,2,0.0565,0.0969,0.58,0.29
200,16000,1000,4,0.0565,0.0691,0.82,0.205
200,20000,1000,5,0.0565,0.0635,0.89,0.178
200,24000,1000,6,0.0565,0.059,0.96,0.16
200,12000,1000,2,0.0565,0.1433,0.39,0.195
200,24000,1000,4,0.0565,0.1013,0.56,0.14
200,30000,1000,5,0.0565,0.0919,0.61,0.122
200,36000,1000,6,0.0565,0.0842,0.67,0.1117
200,4000,1000,2,0.0565,0.0488,1.16,0.58
200,8000,1000,4,0.0565,0.0352,1.61,0.4025
200,10000,1000,5,0.0565,0.0316,1.79,0.358
200,12000,1000,6,0.0565,0.0294,1.92,0.32
200,8000,1000,2,0.0565,0.0969,0.58,0.29
200,16000,1000,4,0.0565,0.0691,0.82,0.205
200,20000,1000,5,0.0565,0.0635,0.89,0.178
200,24000,1000,6,0.0565,0.059,0.96,0.16
200,12000,1000,2,0.0565,0.1433,0.39,0.195
200,24000,1000,4,0.0565,0.1013,0.56,0.14
200,30000,1000,5,0.0565,0.0919,0.61,0.122
200,36000,1000,6,0.0565,0.0842,0.67,0.1117
200,4000,1000,2,0.0565,0.0488,1.16,0.58
200,8000,1000,4,0.0565,0.0352,1.61,0.4025
200,10000,1000,5,0.0565,0.0316,1.79,0.358
200,12000,1000,6,0.0565,0.0294,1.92,0.32
200,8000,1000,2,0.0565,0.0969,0.58,0.29
200,16000,1000,4,0.0565,0.0691,0.82,0.205
200,20000,1000,5,0.0565,0.0635,0.89,0.178
200,24000,1000,6,0.0565,0.059,0.96,0.16
200,12000,1000,2,0.0565,0.1433,0.39,0.195
