type size particles iterations skipped time num_process
c 200 16 1000 1908 0.002499 128
c 200 8 1000 1928 0.00405 256
c 200 4 1000 1928 0.00302 512
c 200 2 1000 1928 0.005472 1024
c 200 16 1000 1918 0.003767 128
c 200 8 1000 1919 0.003987 256
c 200 4 1000 1912 0.003011 512
c 200 2 1000 1917 0.005469 1024
c 200 16 1000 1852 0.003917 128
c 200 8 1000 1850 0.00403 256
c 200 4 1000 1847 0.004987 512
c 200 2 1000 1849 0.005706 1024
c 200 16 1000 1951 0.003772 128
c 200 8 1000 1951 0.004013 256
c 200 4 1000 1951 0.004543 512
c 200 2 1000 1951 0.007298 1024
c 200 16 10000 357 0.02679 128
c 200 8 10000 245 0.02505 256
c 200 4 10000 265 0.029337 512
c 200 2 10000 288 0.034917 1024
c 200 16 10000 294 0.016181 128
c 200 8 10000 353 0.016265 256
c 200 4 10000 358 0.017287 512
c 200 2 10000 353 0.027692 1024
c 200 16 10000 238 0.016099 128
c 200 8 10000 248 0.024967 256
c 200 4 10000 254 0.026333 512
c 200 2 10000 305 0.025184 1024
c 200 16 10000 422 0.018086 128
c 200 8 10000 385 0.026081 256
c 200 4 10000 389 0.027727 512
c 200 2 10000 318 0.037814 1024
c 200 16 100000 0 0.044588 128
c 200 8 100000 0 0.034566 256
c 200 4 100000 0 0.048508 512
c 200 2 100000 0 0.04615 1024
c 200 16 100000 0 0.041797 128
c 200 8 100000 0 0.033886 256
c 200 4 100000 0 0.037532 512
c 200 2 100000 0 0.050254 1024
c 200 16 100000 0 0.027614 128
c 200 8 100000 0 0.026675 256
c 200 4 100000 0 0.052143 512
c 200 2 100000 0 0.068747 1024
c 200 16 100000 0 0.040368 128
c 200 8 100000 0 0.037219 256
c 200 4 100000 0 0.040577 512
c 200 2 100000 0 0.050341 1024
c 200 32 1000 3238 0.003549 128
c 200 16 1000 3210 0.003719 256
c 200 8 1000 3253 0.004002 512
c 200 4 1000 3212 0.006085 1024
c 200 32 1000 3370 0.003618 128
c 200 16 1000 3330 0.003501 256
c 200 8 1000 3253 0.004393 512
c 200 4 1000 3446 0.006133 1024
c 200 32 1000 3356 0.003562 128
c 200 16 1000 3277 0.003911 256
c 200 8 1000 3258 0.004113 512
c 200 4 1000 3354 0.006113 1024
c 200 32 1000 3353 0.003532 128
c 200 16 1000 3484 0.003491 256
c 200 8 1000 3354 0.004539 512
c 200 4 1000 3379 0.006238 1024
c 200 32 10000 0 0.008451 128
c 200 16 10000 0 0.011212 256
c 200 8 10000 0 0.009508 512
c 200 4 10000 0 0.014122 1024
c 200 32 10000 0 0.012176 128
c 200 16 10000 0 0.009401 256
c 200 8 10000 0 0.01236 512
c 200 4 10000 0 0.013062 1024
c 200 32 10000 0 0.010231 128
c 200 16 10000 0 0.009381 256
c 200 8 10000 0 0.012021 512
c 200 4 10000 0 0.012483 1024
c 200 32 10000 0 0.009403 128
c 200 16 10000 0 0.009571 256
c 200 8 10000 0 0.012568 512
c 200 4 10000 0 0.01965 1024
c 200 32 100000 0 0.009322 128
c 200 16 100000 0 0.012586 256
c 200 8 100000 0 0.00962 512
c 200 4 100000 0 0.013497 1024
c 200 32 100000 0 0.012291 128
c 200 16 100000 0 0.009099 256
c 200 8 100000 0 0.011718 512
c 200 4 100000 0 0.016603 1024
c 200 32 100000 0 0.009544 128
c 200 16 100000 0 0.00892 256
c 200 8 100000 0 0.010562 512
c 200 4 100000 0 0.015789 1024
c 200 32 100000 0 0.009147 128
c 200 16 100000 0 0.010914 256
c 200 8 100000 0 0.014576 512
c 200 4 100000 0 0.016167 1024
c 200 47 1000 1440 0.003953 128
c 200 24 1000 1626 0.004121 256
c 200 12 1000 702 0.004384 512
c 200 6 1000 735 0.005546 1024
c 200 47 1000 1373 0.003657 128
c 200 24 1000 824 0.00381 256
c 200 12 1000 1104 0.003979 512
c 200 6 1000 892 0.005127 1024
c 200 47 1000 1784 0.003812 128
c 200 24 1000 675 0.003863 256
c 200 12 1000 1395 0.003911 512
c 200 6 1000 492 0.00511 1024
c 200 47 1000 1677 0.003778 128
c 200 24 1000 476 0.00375 256
c 200 12 1000 1525 0.004017 512
c 200 6 1000 581 0.004987 1024
c 200 47 10000 0 0.004584 128
c 200 24 10000 0 0.003926 256
c 200 12 10000 0 0.004039 512
c 200 6 10000 0 0.007412 1024
c 200 47 10000 0 0.003739 128
c 200 24 10000 0 0.003801 256
c 200 12 10000 0 0.004135 512
c 200 6 10000 0 0.005666 1024
c 200 47 10000 0 0.004249 128
c 200 24 10000 0 0.005334 256
