type size particles iterations skipped time num_process
m 200 2000 1000 1912 0.049219 2
m 200 2000 1000 1936 0.036911 4
m 200 2000 1000 1946 0.032596 5
m 200 2000 1000 1923 0.031232 6
m 200 2000 1000 1915 0.049112 2
m 200 2000 1000 1923 0.035788 4
m 200 2000 1000 1936 0.031876 5
m 200 2000 1000 1919 0.031081 6
m 200 2000 1000 1871 0.048421 2
m 200 2000 1000 1904 0.033551 4
m 200 2000 1000 1916 0.030974 5
m 200 2000 1000 1924 0.027046 6
m 200 2000 1000 1893 0.048517 2
m 200 2000 1000 1915 0.034586 4
m 200 2000 1000 1902 0.031141 5
m 200 2000 1000 1921 0.028407 6
m 200 2000 10000 874 0.313329 2
m 200 2000 10000 966 0.24173 4
m 200 2000 10000 1003 0.219985 5
m 200 2000 10000 1092 0.206461 6
m 200 2000 10000 993 0.342618 2
m 200 2000 10000 983 0.239241 4
m 200 2000 10000 973 0.207673 5
m 200 2000 10000 1010 0.200862 6
m 200 2000 10000 840 0.311853 2
m 200 2000 10000 963 0.244349 4
m 200 2000 10000 999 0.20682 5
m 200 2000 10000 1114 0.202914 6
m 200 2000 10000 894 0.31876 2
m 200 2000 10000 984 0.238908 4
m 200 2000 10000 1013 0.218391 5
m 200 2000 10000 1054 0.209221 6
m 200 2000 100000 6 0.409124 2
m 200 2000 100000 28 0.325665 4
m 200 2000 100000 30 0.279498 5
m 200 2000 100000 50 0.293255 6
m 200 2000 100000 3 0.419414 2
m 200 2000 100000 41 0.333535 4
m 200 2000 100000 47 0.306491 5
m 200 2000 100000 57 0.278305 6
m 200 2000 100000 3 0.397624 2
m 200 2000 100000 26 0.303282 4
m 200 2000 100000 44 0.315615 5
m 200 2000 100000 40 0.305183 6
m 200 2000 100000 3 0.409499 2
m 200 2000 100000 33 0.308732 4
m 200 2000 100000 45 0.295622 5
m 200 2000 100000 44 0.29682 6
m 200 4000 1000 3707 0.09741 2
m 200 4000 1000 3755 0.071021 4
m 200 4000 1000 3769 0.067105 5
m 200 4000 1000 3783 0.062475 6
m 200 4000 1000 3722 0.097437 2
m 200 4000 1000 3758 0.069148 4
m 200 4000 1000 3789 0.062422 5
m 200 4000 1000 3737 0.053619 6
m 200 4000 1000 3657 0.096165 2
m 200 4000 1000 3728 0.067073 4
m 200 4000 1000 3764 0.063734 5
m 200 4000 1000 3817 0.061405 6
m 200 4000 1000 3714 0.096537 2
m 200 4000 1000 3765 0.069264 4
m 200 4000 1000 3730 0.060807 5
m 200 4000 1000 3753 0.058382 6
m 200 4000 10000 914 0.404138 2
m 200 4000 10000 1161 0.338313 4
m 200 4000 10000 1170 0.309585 5
m 200 4000 10000 1307 0.303851 6
m 200 4000 10000 952 0.417889 2
m 200 4000 10000 1072 0.327038 4
m 200 4000 10000 1017 0.282739 5
m 200 4000 10000 1288 0.294067 6
m 200 4000 10000 896 0.404127 2
m 200 4000 10000 1144 0.34116 4
m 200 4000 10000 1145 0.296601 5
m 200 4000 10000 1166 0.280787 6
m 200 4000 10000 964 0.421251 2
m 200 4000 10000 1069 0.33454 4
m 200 4000 10000 1171 0.304883 5
m 200 4000 10000 1205 0.286471 6
m 200 4000 100000 2 0.454552 2
m 200 4000 100000 37 0.362987 4
m 200 4000 100000 49 0.335587 5
m 200 4000 100000 61 0.335261 6
m 200 4000 100000 3 0.418407 2
m 200 4000 100000 33 0.369039 4
m 200 4000 100000 44 0.348374 5
m 200 4000 100000 51 0.324256 6
m 200 4000 100000 5 0.436962 2
m 200 4000 100000 42 0.341614 4
m 200 4000 100000 46 0.358361 5
m 200 4000 100000 57 0.346867 6
m 200 4000 100000 1 0.45638 2
m 200 4000 100000 35 0.373308 4
m 200 4000 100000 38 0.342801 5
m 200 4000 100000 51 0.323106 6
m 200 6000 1000 5375 0.142643 2
m 200 6000 1000 5506 0.099358 4
m 200 6000 1000 5530 0.095445 5
m 200 6000 1000 5543 0.088963 6
m 200 6000 1000 5330 0.142137 2
m 200 6000 1000 5428 0.101015 4
m 200 6000 1000 5518 0.097276 5
m 200 6000 1000 5506 0.084069 6
m 200 6000 1000 5342 0.14309 2
m 200 6000 1000 5413 0.100996 4
m 200 6000 1000 5415 0.085883 5
m 200 6000 1000 5498 0.081997 6
m 200 6000 1000 5405 0.145512 2
m 200 6000 1000 5498 0.1039 4
m 200 6000 1000 5397 0.088814 5
m 200 6000 1000 5549 0.081658 6
m 200 6000 10000 915 0.430455 2
m 200 6000 10000 1082 0.346545 4
m 200 6000 10000 1254 0.357005 5
m 200 6000 10000 1353 0.344434 6
m 200 6000 10000 953 0.446476 2
m 200 6000 10000 1101 0.34945 4
m 200 6000 10000 1134 0.329762 5
m 200 6000 10000 1293 0.32039 6
m 200 6000 10000 896 0.424785 2
m 200 6000 10000 1170 0.363918 4
m 200 6000 10000 1186 0.335738 5
m 200 6000 10000 1248 0.319039 6
m 200 6000 10000 964 0.442863 2
m 200 6000 10000 1089 0.354898 4
m 200 6000 10000 1092 0.324868 5
m 200 6000 10000 1194 0.323645 6
m 200 6000 100000 6 0.472695 2
m 200 6000 100000 38 0.385146 4
m 200 6000 100000 41 0.365226 5
m 200 6000 100000 57 0.366591 6
m 200 6000 100000 3 0.477122 2
m 200 6000 100000 43 0.399754 4
m 200 6000 100000 53 0.378703 5
m 200 6000 100000 70 0.360901 6
m 200 6000 100000 5 0.53502 2
m 200 6000 100000 29 0.394587 4
m 200 6000 100000 51 0.369214 5
m 200 6000 100000 61 0.364241 6
m 200 6000 100000 1 0.468376 2
m 200 6000 100000 35 0.366135 4
m 200 6000 100000 38 0.3621 5
m 200 6000 100000 53 0.332867 6
m 400 8000 1000 7886 0.197457 2
m 400 8000 1000 7888 0.147025 4
m 400 8000 1000 7909 0.126273 5
m 400 8000 1000 7930 0.116963 6
m 400 8000 1000 7896 0.200534 2
m 400 8000 1000 7925 0.141806 4
m 400 8000 1000 7895 0.122935 5
m 400 8000 1000 7919 0.13415 6
m 400 8000 1000 7906 0.19974 2
m 400 8000 1000 7918 0.138775 4
m 400 8000 1000 7923 0.113063 5
m 400 8000 1000 7937 0.113863 6
m 400 8000 1000 7865 0.198957 2
m 400 8000 1000 7898 0.143951 4
m 400 8000 1000 7921 0.126665 5
m 400 8000 1000 7919 0.131919 6
m 400 8000 10000 6888 1.874909 2
m 400 8000 10000 6917 1.290724 4
m 400 8000 10000 6906 1.121009 5
m 400 8000 10000 6976 1.040482 6
m 400 8000 10000 6796 1.852692 2
m 400 8000 10000 6910 1.252456 4
m 400 8000 10000 6969 1.163391 5
m 400 8000 10000 6919 1.032583 6
m 400 8000 10000 6847 1.866335 2
m 400 8000 10000 6905 1.316406 4
m 400 8000 10000 6823 1.161537 5
m 400 8000 10000 6931 1.050719 6
m 400 8000 10000 6765 1.838007 2
m 400 8000 10000 6883 1.300292 4
m 400 8000 10000 7003 1.143264 5
m 400 8000 10000 6979 1.067474 6
m 400 8000 100000 746 5.513252 2
m 400 8000 100000 844 4.136444 4
m 400 8000 100000 924 3.762828 5
m 400 8000 100000 1011 3.54854 6
m 400 8000 100000 756 5.482826 2
m 400 8000 100000 872 4.233074 4
m 400 8000 100000 972 3.887752 5
m 400 8000 100000 967 3.491579 6
m 400 8000 100000 664 5.094325 2
m 400 8000 100000 777 3.954661 4
m 400 8000 100000 834 3.564971 5
m 400 8000 100000 950 3.474797 6
m 400 8000 100000 809 5.910701 2
m 400 8000 100000 834 4.046 4
m 400 8000 100000 883 3.749226 5
m 400 8000 100000 895 3.450964 6
m 400 16000 1000 15699 0.398816 2
m 400 16000 1000 15667 0.284471 4
m 400 16000 1000 15744 0.268764 5
m 400 16000 1000 15740 0.235581 6
m 400 16000 1000 15670 0.400148 2
m 400 16000 1000 15740 0.263853 4
m 400 16000 1000 15717 0.253566 5
m 400 16000 1000 15761 0.251293 6
m 400 16000 1000 15698 0.401501 2
m 400 16000 1000 15682 0.259018 4
m 400 16000 1000 15733 0.238356 5
m 400 16000 1000 15783 0.226109 6
m 400 16000 1000 15665 0.399324 2
m 400 16000 1000 15704 0.285259 4
m 400 16000 1000 15743 0.248678 5
m 400 16000 1000 15731 0.234811 6
m 400 16000 10000 11837 3.355253 2
