type size particles iterations skipped time
s 200 2000 1000 1931 0.057803
s 200 2000 1000 1897 0.056878
s 200 2000 1000 1903 0.057571
s 200 2000 1000 1896 0.057099
s 200 2000 10000 810 0.350871
s 200 2000 10000 792 0.346881
s 200 2000 10000 835 0.354668
s 200 2000 10000 826 0.355155
s 200 2000 100000 9 0.511121
s 200 2000 100000 7 0.472785
s 200 2000 100000 8 0.511013
s 200 2000 100000 5 0.500821
s 200 4000 1000 3751 0.1135
s 200 4000 1000 3692 0.116348
s 200 4000 1000 3704 0.118134
s 200 4000 1000 3665 0.113364
s 200 4000 10000 883 0.466178
s 200 4000 10000 857 0.462722
s 200 4000 10000 913 0.463645
s 200 4000 10000 901 0.462931
s 200 4000 100000 9 0.561537
s 200 4000 100000 7 0.531421
s 200 4000 100000 8 0.566052
s 200 4000 100000 5 0.569413
s 200 6000 1000 5460 0.168859
s 200 6000 1000 5383 0.16874
s 200 6000 1000 5357 0.166876
s 200 6000 1000 5251 0.165566
s 200 6000 10000 883 0.488087
s 200 6000 10000 860 0.481736
s 200 6000 10000 914 0.493824
s 200 6000 10000 904 0.497874
s 200 6000 100000 9 0.573471
s 200 6000 100000 7 0.546572
s 200 6000 100000 8 0.574778
s 200 6000 100000 5 0.580755
s 375 7032 1000 6922 0.211351
s 375 7032 1000 6952 0.211154
s 375 7032 1000 6945 0.216086
s 375 7032 1000 6914 0.215566
s 375 7032 10000 5775 1.938073
s 375 7032 10000 5755 1.881886
s 375 7032 10000 5846 1.857082
s 375 7032 10000 5850 1.864467
s 375 7032 100000 472 4.779461
s 375 7032 100000 505 5.076143
s 375 7032 100000 508 4.964325
s 375 7032 100000 510 4.816654
s 375 14063 1000 13733 0.433875
s 375 14063 1000 13793 0.422108
s 375 14063 1000 13773 0.426598
s 375 14063 1000 13753 0.419796
s 375 14063 10000 9929 3.310878
s 375 14063 10000 9767 3.265058
s 375 14063 10000 9865 3.301386
s 375 14063 10000 9897 3.337537
s 375 14063 100000 472 5.359486
s 375 14063 100000 505 5.548891
s 375 14063 100000 508 5.574524
s 375 14063 100000 510 5.334504
s 375 21094 1000 20396 0.628102
s 375 21094 1000 20517 0.626518
s 375 21094 1000 20473 0.627145
s 375 21094 1000 20476 0.626297
s 375 21094 10000 11840 4.203651
s 375 21094 10000 11653 4.134227
s 375 21094 10000 11742 4.184451
s 375 21094 10000 11685 4.181915
s 375 21094 100000 472 5.5082
s 375 21094 100000 505 5.638617
s 375 21094 100000 508 5.678853
s 375 21094 100000 510 5.438672
s 500 12500 1000 12396 0.381787
s 500 12500 1000 12401 0.386794
s 500 12500 1000 12419 0.390068
s 500 12500 1000 12409 0.389449
s 500 12500 10000 11281 3.523143
s 500 12500 10000 11172 3.47934
s 500 12500 10000 11307 3.501951
s 500 12500 10000 11138 3.460427
s 500 12500 100000 2457 14.37453
s 500 12500 100000 2198 13.65609
s 500 12500 100000 2457 14.38802
s 500 12500 100000 2256 13.78631
s 500 25000 1000 24662 0.764909
s 500 25000 1000 24665 0.769602
s 500 25000 1000 24701 0.765875
s 500 25000 1000 24761 0.768642
s 500 25000 10000 20888 6.614694
s 500 25000 10000 20579 6.597206
s 500 25000 10000 20890 6.949679
s 500 25000 10000 20475 6.507575
s 500 25000 100000 2468 16.44563
s 500 25000 100000 2206 15.42314
s 500 25000 100000 2460 16.00412
s 500 25000 100000 2263 15.50197
s 500 37500 1000 36764 1.137443
s 500 37500 1000 36785 1.133318
s 500 37500 1000 36870 1.129402
s 500 37500 1000 36920 1.132433
s 500 37500 10000 28163 9.088594
s 500 37500 10000 27638 9.017201
s 500 37500 10000 28271 9.07874
s 500 37500 10000 27196 8.752419
s 500 37500 100000 2468 16.63353
s 500 37500 100000 2206 15.69762
s 500 37500 100000 2460 16.22477
s 500 37500 100000 2263 15.70392
c 200 16 1000 1908 0.002747
c 200 8 1000 1928 0.004073
c 200 4 1000 1928 0.002997
c 200 2 1000 1928 0.005829
c 200 16 1000 1917 0.002262
c 200 8 1000 1914 0.002482
c 200 4 1000 1912 0.003404
c 200 2 1000 1920 0.006732
c 200 16 1000 1844 0.002175
c 200 8 1000 1850 0.003691
c 200 4 1000 1834 0.004624
c 200 2 1000 1849 0.005203
c 200 16 1000 1951 0.005288
c 200 8 1000 1951 0.003739
c 200 4 1000 1951 0.004777
c 200 2 1000 1951 0.006918
c 200 16 10000 275 0.019523
c 200 8 10000 255 0.030545
c 200 4 10000 210 0.021367
c 200 2 10000 293 0.026808
c 200 16 10000 297 0.016503
c 200 8 10000 309 0.01614
c 200 4 10000 356 0.017839
c 200 2 10000 327 0.025912
c 200 16 10000 279 0.022695
c 200 8 10000 187 0.023076
c 200 4 10000 172 0.017771
c 200 2 10000 258 0.034454
c 200 16 10000 398 0.017233
c 200 8 10000 415 0.018769
c 200 4 10000 425 0.028909
c 200 2 10000 357 0.028426
c 200 16 100000 0 0.049059
c 200 8 100000 0 0.03347
c 200 4 100000 0 0.035038
c 200 2 100000 0 0.055362
c 200 16 100000 0 0.035862
c 200 8 100000 0 0.03389
c 200 4 100000 0 0.035456
c 200 2 100000 0 0.046091
c 200 16 100000 0 0.031443
c 200 8 100000 0 0.031115
c 200 4 100000 0 0.034086
c 200 2 100000 0 0.062185
c 200 16 100000 0 0.038181
c 200 8 100000 0 0.038644
c 200 4 100000 0 0.038978
c 200 2 100000 0 0.050074
c 200 32 1000 3247 0.003725
c 200 16 1000 3244 0.003749
c 200 8 1000 3274 0.004101
c 200 4 1000 3303 0.006321
c 200 32 1000 3244 0.003953
c 200 16 1000 3373 0.003581
c 200 8 1000 3292 0.004414
c 200 4 1000 3447 0.00625
c 200 32 1000 3362 0.003702
c 200 16 1000 3281 0.003964
c 200 8 1000 3406 0.004196
c 200 4 1000 3238 0.005996
c 200 32 1000 3420 0.00377
