type size particles iterations skipped time num_process
s 200 2000 1000 1931 0.05439 1
s 200 2000 1000 1897 0.055085 1
s 200 2000 1000 1903 0.055673 1
s 200 2000 1000 1896 0.055191 1
s 200 2000 10000 810 0.337756 1
s 200 2000 10000 792 0.333529 1
s 200 2000 10000 835 0.337287 1
s 200 2000 10000 826 0.339639 1
s 200 2000 100000 9 0.481058 1
s 200 2000 100000 7 0.441021 1
s 200 2000 100000 8 0.469352 1
s 200 2000 100000 5 0.464481 1
s 200 4000 1000 3751 0.109445 1
s 200 4000 1000 3692 0.107581 1
s 200 4000 1000 3704 0.108212 1
s 200 4000 1000 3665 0.10732 1
s 200 4000 10000 883 0.440731 1
s 200 4000 10000 857 0.431679 1
s 200 4000 10000 913 0.441914 1
s 200 4000 10000 901 0.439232 1
s 200 4000 100000 9 0.527632 1
s 200 4000 100000 7 0.500794 1
s 200 4000 100000 8 0.531652 1
s 200 4000 100000 5 0.53268 1
s 200 6000 1000 5460 0.161871 1
s 200 6000 1000 5383 0.162031 1
s 200 6000 1000 5357 0.157241 1
s 200 6000 1000 5251 0.156787 1
s 200 6000 10000 883 0.47134 1
s 200 6000 10000 860 0.48881 1
s 200 6000 10000 914 0.468385 1
s 200 6000 10000 904 0.46767 1
s 200 6000 100000 9 0.540526 1
s 200 6000 100000 7 0.514951 1
s 200 6000 100000 8 0.542859 1
s 200 6000 100000 5 0.54524 1
s 400 8000 1000 7921 0.223932 1
s 400 8000 1000 7872 0.22336 1
s 400 8000 1000 7898 0.223309 1
s 400 8000 1000 7904 0.223112 1
s 400 8000 10000 6800 2.01198 1
s 400 8000 10000 6785 2.032139 1
s 400 8000 10000 6752 2.006553 1
s 400 8000 10000 6892 2.035619 1
s 400 8000 100000 723 5.826781 1
s 400 8000 100000 654 5.537972 1
s 400 8000 100000 716 5.857507 1
s 400 8000 100000 784 6.175217 1
s 400 16000 1000 15731 0.44389 1
s 400 16000 1000 15669 0.44166 1
s 400 16000 1000 15697 0.442364 1
s 400 16000 1000 15673 0.445747 1
s 400 16000 10000 12027 3.688118 1
s 400 16000 10000 11770 3.635633 1
s 400 16000 10000 11825 3.641042 1
s 400 16000 10000 12228 3.723832 1
s 400 16000 100000 723 6.405068 1
s 400 16000 100000 654 6.22573 1
s 400 16000 100000 718 6.605443 1
s 400 16000 100000 784 6.822681 1
s 400 24000 1000 23442 0.66029 1
s 400 24000 1000 23339 0.658398 1
s 400 24000 1000 23367 0.65955 1
s 400 24000 1000 23320 0.658725 1
s 400 24000 10000 14872 4.799021 1
s 400 24000 10000 14511 4.716146 1
s 400 24000 10000 14648 4.745053 1
s 400 24000 10000 15393 4.920407 1
s 400 24000 100000 723 6.502771 1
s 400 24000 100000 654 6.342538 1
s 400 24000 100000 718 6.779436 1
s 400 24000 100000 784 6.965546 1
s 600 18000 1000 17896 0.502615 1
s 600 18000 1000 17912 0.502679 1
s 600 18000 1000 17925 0.502 1
s 600 18000 1000 17899 0.522035 1
s 600 18000 10000 16732 4.772108 1
s 600 18000 10000 16965 4.87219 1
s 600 18000 10000 16835 4.807519 1
s 600 18000 10000 16721 4.774357 1
s 600 18000 100000 5567 25.28106 1
s 600 18000 100000 5018 23.645 1
s 600 18000 100000 5177 24.07765 1
s 600 18000 100000 5307 24.527 1
s 600 36000 1000 35706 1.002083 1
s 600 36000 1000 35720 0.999534 1
s 600 36000 1000 35759 1.003578 1
s 600 36000 1000 35708 1.0019 1
