type size particles iterations skipped time num_process
s 200 2000 1000 1931 0.05662 1
s 200 2000 1000 1897 0.05622 1
s 200 2000 1000 1903 0.056665 1
s 200 2000 1000 1896 0.056434 1
s 200 2000 10000 810 0.345816 1
s 200 2000 10000 792 0.341704 1
s 200 2000 10000 835 0.347303 1
s 200 2000 10000 826 0.347575 1
s 200 2000 100000 9 0.494921 1
s 200 2000 100000 7 0.455609 1
s 200 2000 100000 8 0.48566 1
s 200 2000 100000 5 0.479351 1
s 200 4000 1000 3751 0.111259 1
s 200 4000 1000 3692 0.109894 1
s 200 4000 1000 3704 0.110313 1
s 200 4000 1000 3665 0.109637 1
s 200 4000 10000 883 0.449183 1
s 200 4000 10000 857 0.447042 1
s 200 4000 10000 913 0.454908 1
s 200 4000 10000 901 0.454315 1
s 200 4000 100000 9 0.545471 1
s 200 4000 100000 7 0.516967 1
s 200 4000 100000 8 0.546582 1
s 200 4000 100000 5 0.548293 1
s 200 6000 1000 5460 0.162774 1
s 200 6000 1000 5383 0.16189 1
s 200 6000 1000 5357 0.161062 1
s 200 6000 1000 5251 0.158463 1
s 200 6000 10000 883 0.469241 1
s 200 6000 10000 860 0.470897 1
s 200 6000 10000 914 0.482412 1
s 200 6000 10000 904 0.485927 1
s 200 6000 100000 9 0.55793 1
s 200 6000 100000 7 0.530166 1
s 200 6000 100000 8 0.556169 1
s 200 6000 100000 5 0.561381 1
s 400 8000 1000 7921 0.230171 1
s 400 8000 1000 7872 0.229398 1
s 400 8000 1000 7898 0.229524 1
s 400 8000 1000 7904 0.229126 1
s 400 8000 10000 6800 2.084924 1
s 400 8000 10000 6785 2.086853 1
s 400 8000 10000 6752 2.07835 1
s 400 8000 10000 6892 2.1077 1
s 400 8000 100000 723 6.026082 1
s 400 8000 100000 654 5.747859 1
s 400 8000 100000 716 6.267764 1
s 400 8000 100000 784 6.405074 1
s 400 16000 1000 15731 0.458169 1
s 400 16000 1000 15669 0.456219 1
s 400 16000 1000 15697 0.456821 1
s 400 16000 1000 15673 0.457957 1
s 400 16000 10000 12027 3.835274 1
s 400 16000 10000 11770 3.764047 1
s 400 16000 10000 11825 3.77372 1
s 400 16000 10000 12228 3.860398 1
s 400 16000 100000 723 6.640496 1
s 400 16000 100000 654 6.465902 1
s 400 16000 100000 718 6.855486 1
s 400 16000 100000 784 7.115705 1
s 400 24000 1000 23442 0.685721 1
s 400 24000 1000 23339 0.678855 1
s 400 24000 1000 23367 0.679922 1
s 400 24000 1000 23320 0.681529 1
s 400 24000 10000 14872 4.977296 1
s 400 24000 10000 14511 4.895165 1
s 400 24000 10000 14648 4.929005 1
s 400 24000 10000 15393 5.105023 1
s 400 24000 100000 723 6.746971 1
s 400 24000 100000 654 6.59529 1
s 400 24000 100000 718 7.018156 1
s 400 24000 100000 784 7.268906 1
s 600 18000 1000 17896 0.520999 1
s 600 18000 1000 17912 0.521198 1
s 600 18000 1000 17925 0.521751 1
s 600 18000 1000 17899 0.521378 1
s 600 18000 10000 16732 4.979186 1
s 600 18000 10000 16965 5.033617 1
s 600 18000 10000 16835 5.006257 1
s 600 18000 10000 16721 4.98609 1
s 600 18000 100000 5567 26.44815 1
s 600 18000 100000 5018 24.48227 1
s 600 18000 100000 5177 25.07735 1
s 600 18000 100000 5307 25.58281 1
s 600 36000 1000 35706 1.039459 1
s 600 36000 1000 35720 1.040145 1
s 600 36000 1000 35759 1.040765 1
s 600 36000 1000 35708 1.039136 1
s 600 36000 10000 31794 9.577034 1
s 600 36000 10000 32267 9.707573 1
s 600 36000 10000 32064 9.660781 1
s 600 36000 10000 31872 9.61397 1
s 600 36000 100000 5661 30.5398 1
s 600 36000 100000 5124 28.68365 1
s 600 36000 100000 5271 29.13822 1
s 600 36000 100000 5381 29.48227 1
s 600 54000 1000 53387 1.55355 1
s 600 54000 1000 53410 1.553902 1
s 600 54000 1000 53496 1.567367 1
s 600 54000 1000 53401 1.554921 1
s 600 54000 10000 44311 13.57101 1
s 600 54000 10000 45264 13.80519 1
s 600 54000 10000 45204 13.78631 1
s 600 54000 10000 44810 13.70634 1
s 600 54000 100000 5661 31.14282 1
s 600 54000 100000 5124 29.24711 1
s 600 54000 100000 5271 29.79455 1
s 600 54000 100000 5381 30.23336 1
